Keyword	Domain	Position
ps://www.netflix.com/browse/genre/839338	1
new movies on netflix	https://www.whats-on-netflix.com/whats-new/new-releases-on-netflix-november-20th-2019/	12
new movies on netflix	https://www.whats-on-netflix.com/what-to-watch/best-new-movies-on-netflix-added-this-week-november-16th-2019/	13
netflix account	https://www.netflix.com/YourAccount	1
netflix account	https://www.netflix.com/Login	2
netflix account	https://help.netflix.com/en/node/100627	3
netflix account	https://help.netflix.com/en/node/244	4
netflix account	https://help.netflix.com/en/node/41049	5
netflix account	https://help.netflix.com/en/node/2070	6
new on netflix	https://www.netflix.com/browse/genre/839338	2
new on netflix	https://www.whats-on-netflix.com/whats-new/	5
new on netflix	http://whatsnewonnetflix.com/canada	59
netflix series	https://www.netflix.com/browse/genre/83	1
netflix series	https://www.netflix.com/browse/genre/839338	2
netflix series	https://www.whats-on-netflix.com/library/series/	17
2019-11-29	netflix list	https://www.whats-on-netflix.com/library/movies/	2
2019-11-29	netflix list	http://www.netflix.com/browse/my-list	4
2019-11-29	netflix list	https://www.netflix.com/browse/genre/839338	5
2019-11-29	netflix list	https://www.netflix.com/in/browse/genre/839338	6
2019-11-29	netflix list	https://www.netflix.com/pt-en/title/80196382	7
2019-11-29	netflix app	https://www.netflix.com/app	1
2019-11-29	netflix app	https://help.netflix.com/en/node/101653	2
2019-11-29	ok google go to netflix	https://www.netflix.com/app	2
2019-11-29	ok google go to netflix	https://www.netflix.com/	3
2019-11-29	ok google go to netflix	https://www.netflix.com/Login	4
2019-11-29	ok google go to netflix	https://help.netflix.com/en/node/101653	5
2019-11-29	ok google go to netflix	https://www.netflix.com/title/80211991	6
2019-11-29	ok google go to netflix	https://www.whats-on-netflix.com/news/lucifer-season-5-netflix-what-to-expect-what-we-know-so-far-11-29-2019/	23
2020-01-14	what to watch on netflix now	https://www.netflix.com/	16
2020-01-14	what to watch on netflix now	https://www.whats-on-netflix.com/what-to-watch/	22
2020-01-14	netflix instant	https://www.netflix.com/	1
2020-01-14	netflix instant	https://help.netflix.com/en/node/412	2
2020-01-14	netflix instant	https://www.whats-on-netflix.com/library/movies/	36
2020-01-14	netflix live streaming	https://www.netflix.com/	1
2020-01-14	netflix live streaming	https://help.netflix.com/en/node/412	2
2020-01-14	www netflix com	https://www.netflix.com/	1
2020-01-14	www netflix com	https://www.whats-on-netflix.com/	6
2020-01-14	www netflix com	https://books.google.com.ua/books?id=LAIeCgAAQBAJ&pg=PA102&lpg=PA102&dq=www.netflix.com&source=bl&ots=-XqZTFI7wZ&sig=ACfU3U3rDs5dRXxjIIBPAMHUKPxWmqMKYQ&hl=en&sa=X&ved=2ahUKEwih55OSh4TnAhXB5KYKHX4oB2EQ6AEwInoECCkQAQ	17
2020-01-14	www netflix com	https://books.google.com.ua/books?id=0QR6DwAAQBAJ&pg=PA71&lpg=PA71&dq=www.netflix.com&source=bl&ots=G_drt8p_VR&sig=ACfU3U1f0MQCwcPZYO2VUyiNLEK6FoEO-A&hl=en&sa=X&ved=2ahUKEwih55OSh4TnAhXB5KYKHX4oB2EQ6AEwI3oECCoQAQ	18
2020-01-14	www netflix com	https://books.google.com.ua/books?id=B-Zf1sQZapMC&pg=PA29&lpg=PA29&dq=www.netflix.com&source=bl&ots=N9l3GIzjLg&sig=ACfU3U14PCmbKVQ-giVoVthece08UAZEKw&hl=en&sa=X&ved=2ahUKEwih55OSh4TnAhXB5KYKHX4oB2EQ6AEwJXoECC8QAQ	20
2020-01-14	www netflix com	https://books.google.com.ua/books?id=ZfQ3DwAAQBAJ&pg=PA158&lpg=PA158&dq=www.netflix.com&source=bl&ots=tuZe1mF36H&sig=ACfU3U15oJOIzU6msWiIh2-V6cVBH4Jveg&hl=en&sa=X&ved=2ahUKEwih55OSh4TnAhXB5KYKHX4oB2EQ6AEwJnoECDAQAQ	21
2020-01-14	www netflix com	https://givingassistant.org/coupon-codes/netflix.com	31
