URL	TITLE	H1	RESPONSE_TIME
https://netflix.com/	Netflix Ukraine - Watch TV Shows Online, Watch Movies Online	Unlimited movies, TV shows, and more.	1.62
https://help.netflix.com/legal/privacy	Not found	Privacy Statement	0.5
https://help.netflix.com/en	Netflix Help Center	Help Center	0.4
https://netflix.com/loginhelp	Netflix	Forgot Email/Password	1.3
https://netflix.com	Netflix Ukraine - Watch TV Shows Online, Watch Movies Online	Unlimited movies, TV shows, and more.	1.65
https://help.netflix.com/en/legal/termsofuse	Not found	Netflix Terms of Use	0.39
https://netflix.com/Login?nextpage=https%3A%2F%2Fhelp.netflix.com%2F	Netflix	Sign In	1.17
https://help.netflix.com/contactus	Contact Us	Contact Customer Service	0.49
https://help.netflix.com/legal/termsofuse	Not found	Netflix Terms of Use	0.38
https://help.netflix.com/legal/notices	Not found	Legal Notices	0.38
https://www.netflix.com/youraccount	Netflix	Sign In	2.03
https://help.netflix.com/en/legal/privacy	Not found	Privacy Statement	0.38
https://help.netflix.com/en/legal/privacy#cookies	Not found	Privacy Statement	0.39
https://www.netflix.com/giftterms	Not found	Gift Card Terms	0.78
https://help.netflix.com/en/node/407	How do I cancel Netflix?	How do I cancel Netflix?	0.4
https://help.netflix.com/en/node/461	Why Isn't Netflix Working | Netflix Error Codes	Why isn't Netflix working?	0.52
https://help.netflix.com/en/titlerequest	Request TV shows or movies	Not found	0.39
https://help.netflix.com/legal/privacy#cookies	Not found	Privacy Statement	0.39
https://help.netflix.com/en/node/412	What is Netflix?	What is Netflix?	0.39
